object_id,name,start_room,description,takeable,take_sets_flag,use_verb,use_requires_flag,use_sets_flag,use_consumes,use_success_text,use_fail_text
map_scrap,map scrap,R01,"A torn corner of a prison plan. It marks the furnace, the gallery and the outer gate, but says nothing about reaching them.",true,,,,,false,,
bunk_iron,iron bunk,R01,"A slab of iron bolted straight through the wall. It is not going anywhere, and neither are you by way of it.",false,,,,,false,,
key_iron,iron key,R04,"A heavy key, blunt with wear, hung on a nail beside the storeroom door.",true,,unlock,,iron_door_open,true,"The iron key grinds once in the banded door and snaps off in the ward. The door swings open.","There is nothing here this key will bite on."
lantern,lantern,R03,"A guard's hooded lantern. The reservoir is dry and the wick is stiff with age.",true,,light,has_oil,lantern_lit,false,"You fill the reservoir, and the wick takes with a soft thump of flame.","The wick is bone dry. Without oil it will never catch."
helmet_rusted,rusted helmet,R03,"A guard's helmet, rusted through at the crown. It would not turn a raindrop.",true,,,,,false,,
flask_oil,oil flask,R06,"A stoppered flask bobbing at the waterline, still half full of lamp oil.",true,has_oil,,,,false,,
valve_wheel,valve wheel,R05,"A spoked wheel lying loose in its crate, sized to fit the choked steam pipe.",true,,turn,lantern_lit,steam_vented,false,"You seat the wheel and haul. The pipe shudders, and the scalding steam vents away up the shaft.","You cannot find the pipe coupling in this gloom, let alone seat the wheel on it."
cog_bronze,bronze cog,R07,"A bronze cog with one freshly cut tooth: a spare, made for the gallery works.",true,has_cog,fit,knows_hour,clock_set,true,"You fit the cog and wind the works to the hour the ledger names. Deep in the wall, a bolt draws back.","The cog seats easily enough, but the gallery clock could be wound to any hour at all. You would only be guessing."
ledger,ledger,R08,"The gate warden's ledger, still open at the day the prison emptied.",true,,read,has_cog,knows_hour,false,"The last entry names the hour the gate clock was stopped. With a cog in hand, that number is finally worth something.","Columns of hours and names. With no way to turn the gallery works, none of it means anything."
key_skeleton,skeleton key,R08,"A long skeleton key on the clerk's ring, cut for the outer gate.",true,,unlock,clock_set,gate_open,true,"The drawn bolt lets the key turn at last. The outer gate groans open onto the courtyard.","The key turns a quarter and stops. Something heavier than a lock is holding this gate."
mural_stone,stone mural,R09,"A carved mural of the prison at its founding, set flush into the wall. Cold, and immovable.",false,,,,,false,,
